H20679;⫓;1D550
H20680;⫔;1D550
H20681;⫕;1D550
H20682;⫖;1D550
H20687;∋;1D550
H20688;∊;1D550
H20689;∍;1D550
H20690;⊂;1D550
H20691;⊃;1D550
H20841;∣;1D550
H20849;(;1D550
H20850;);1D550
H20851;[;1D550
H20852;];1D550
H20853;{;1D550
H20854;};1D550
H20855;〈;1D550
H20856;〉;1D550
H20857;√;1D550
H20858;Σ;1D550
H20862;∕;1D550
H20864;[;1D550
H20865;];1D550
H20866;[;1D550
H20868;);1D550
H20869;⨖;1D550
H20871;(;1D550
H20872;);1D550
H20873;(;1D550
H20874;);1D550
H20875;[;1D550
H20876;];1D550
H20881;√;1D550
H20885;∫;1D550
H20889;Π;1D550
H20890;[;1D550
H20891;〛;1D550
H20892;[;1D550
H20893;];1D550
H20894;);1D550
H20896;(;1D550
H20897;);1D550
H20898;(;1D550
H20899;);1D550
H20900;[;1D550
H20901;];1D550
H20904;∣;1D550
H20907;⋰;1D550
H20908;〈;1D550
H20909;〉;1D550
H20912;∯;1D550
H20913;∑;1D550
H20915;[;1D550
H20916;];1D550
H20917;[;1D550
H20920;(;1D550
H20921;);1D550
H21739;↦;1D550
H21740;⤺;1D550
H21741;⤻;1D550
H21748;⤼;1D550
H21749;⤽;1D550
H21750;⤾;1D550
H21751;⤿;1D550
H21753;⋯;1D550
H21754;⋰;1D550
H21755;⋱;1D550
H22841;★;1D550
H22845;☆;1D550
H33355;⩽;1D550
H33356;⩾;1D550
H33358;𝓵;1D4F5
H33360;≈;1D4F5
H33361;≅;1D4F5
H33370;∩;1D4F5
H33371;∪;1D4F5
H33456;∷;1D4F5
H33525;⎯;1D4F5
H33526;⎯;1D4F5
H33527;̿;1D4F5
H33528;∈;1D4F5
H33529;∋;1D4F5
H33701;‾;1D4F5
H33702;‾;1D4F5
H5007;‒;1D4F5
H5008;–;1D4F5
H5009;—;1D4F5
H5037;ℵ;1D4F5
H5101;𝒜;1D49C
H5102;ℬ;1D49C
H5103;𝒞;1D49E
H5104;𝒟;1D49F
H5106;ℱ;1D49F
H5107;𝒢;1D4A2
H5109;ℐ;1D4A2
H5110;𝒥;1D4A5
H5111;𝒦;1D4A6
H5112;ℒ;1D4A6
H5113;ℳ;1D4A6
H5114;𝒩;1D4A9
H5115;𝒪;1D4AA
H5117;𝒬;1D4AC
H5118;ℛ;1D4AC
H5119;𝒮;1D4AE
H5120;𝒯;1D4AF
H5122;𝒱;1D4B1
H5123;𝒲;1D4B2
H5124;𝒳;1D4B3
H5125;𝒴;1D4B4
H5126;𝒵;1D4B5
H5127;ℊ;1D4B5
H5128;𝒽;1D4BD
H5129;𝓵;1D4F5
H5130;𝓏;1D4CF
H5131;𝓰;1D4F0
H5132;𝒽;1D4BD
H5133;𝓵;1D4F5
H5134;𝔃;1D503
H5211;𝔄;1D504
H5212;𝔙;1D519
H5213;ℭ;1D519
H5214;𝔇;1D507
H5215;𝔈;1D508
H5216;𝔉;1D509
H5217;𝔊;1D50A
H5218;ℌ;1D50A
H5219;ℑ;1D50A
H5220;𝔍;1D50D
H5221;𝔎;1D50E
H5222;𝔏;1D50F
H5223;𝔐;1D510
H5224;𝔑;1D511
H5225;𝔒;1D512
H5226;𝔓;1D513
H5227;𝔔;1D514
H5228;ℜ;1D514
H5229;𝔖;1D516
H5230;𝔗;1D517
H5231;𝔘;1D518
H5232;𝔙;1D519
H5233;𝔚;1D51A
H5234;𝔛;1D51B
H5235;𝔜;1D51C
H5236;ℨ;1D51C
H5246;𝔞;1D51E
H5247;𝔟;1D51F
H5248;𝔠;1D520
H5249;𝔡;1D521
H5250;𝔢;1D522
H5251;𝔣;1D523
H5252;𝔤;1D524
H5253;𝔥;1D525
H5254;𝔦;1D526
H5255;𝔧;1D527
H5256;𝔨;1D528
H5258;𝔪;1D52A
H5259;𝔫;1D52B
H5260;𝔬;1D52C
H5261;𝔭;1D52D
H5262;𝔮;1D52E
H5263;𝔯;1D52F
H5264;𝔰;1D530
H5265;𝔱;1D531
H5266;𝔲;1D532
H5267;𝔳;1D533
H5268;𝔴;1D534
H5269;𝔵;1D535
H5270;𝔶;1D536
H5271;𝔷;1D537
H6013;̇;1D537
H6015;̋;1D537
H6017;●;1D537
H6018;_;1D537
H6023;⃗;1D537
H6024;⃖;1D537
H6025;=;1D537
H6036;ℏ;1D537
H6124;⃗;1D537
H6125;⃖;1D537
H6184;●;1D537
H6186;_;1D537
H6188;⃗;1D537
H6189;⃖;1D537
H6190;⃛;1D537
H7001;∀;1D537
H7002;∃;1D537
H9001;𝚨;1D6A8
H9002;𝚩;1D6A9
H9003;𝚪;1D6AA
H9004;𝚫;1D6AB
H9005;𝚬;1D6AC
H9006;𝚭;1D6AD
H9007;𝚮;1D6AE
H9008;𝚯;1D6AF
H9009;𝚰;1D6B0
H9010;𝚱;1D6B1
H9011;𝚲;1D6B2
H9012;𝚳;1D6B3
H9013;𝚴;1D6B4
H9014;𝚵;1D6B5
H9015;𝚶;1D6B6
H9016;𝚷;1D6B7
H9017;𝚸;1D6B8
H9018;𝚺;1D6BA
H9019;𝚻;1D6BB
H9020;𝚼;1D6BC
H9021;𝚽;1D6BD
H9022;𝚾;1D6BE
H9023;𝚿;1D6BF
H9024;𝛀;1D6C0
H9052;𝚹;1D6B9
H9251;𝛂;1D6C2
H9252;𝛃;1D6C3
H9253;𝛄;1D6C4
H9254;𝛅;1D6C5
H9255;𝛆;1D6C6
H9256;𝛇;1D6C7
H9257;𝛈;1D6C8
H9258;𝛉;1D6C9
H9259;𝛊;1D6CA
H9260;𝛋;1D6CB
H9261;𝛌;1D6CC
H9262;𝛍;1D6CD
H9263;𝛎;1D6CE
H9264;𝛏;1D6CF
H9265;𝛐;1D6D0
H9266;𝛑;1D6D1
H9267;𝛒;1D6D2
H9268;𝛔;1D6D4
H9269;𝛓;1D6D3
H9270;𝛕;1D6D5
H9271;𝛖;1D6D6
H9272;𝛗;1D6D7
H9273;𝛘;1D6D8
H9274;𝛙;1D6D9
H9275;𝛚;1D6DA
H9276;𝛡;1D6E1
H9277;𝛝;1D6DD
H9278;𝛟;1D6DF
H9280;𝛜;1D6DC
H9281;ϐ;1D6DC
H9282;𝛞;1D6DE
H9284;ƛ;1D6DE
HV11013;≢;1D6DE
HV11021;≮;1D6DE
HV11022;≯;1D6DE
HV11061;≇;1D6DE
HV11229;≄;1D6DE
HV11349;≰;1D6DE
HV11350;≱;1D6DE
HV11371;⋽;1D6DE
HV11372;⋶;1D6DE
HV11373;⊁;1D6DE
HV11374;⊀;1D6DE
HV11375;⋠;1D6DE
HV11376;⋡;1D6DE
HV11377;≭;1D6DE
HV11549;≠;1D6DE
HV20661;⊈;1D6DE
HV20678;∉;1D6DE
HV20687;∌;1D6DE
HV20690;⊄;1D6DE
HV20691;⊅;1D6DE
HV33528;∉;1D6DE
HV33529;∌;1D6DE
HV33875;⊀;1D6DE
